CMM X,CMM Y,CMM Z,Conf Z,Conf total z,CMM X,CMM Y,CMM Z,Conf Z,Conf total z,Table CMM,,,Table Confocal Probe,
244.07,562.15,94.21,0.035,94.175,85.73,405.74,94.65,0.468,94.182,X,Y,Z,Z,total z
,556.25,94.21,0.508,93.702,90.85,,94.65,0.879,93.771,411.52,545.67,39.44,0.526,38.914
,550.7,94.21,0.935,93.275,91.4,,93.81,0.074,93.736,474.31,177.73,39.44,0.522,38.918
,545.38,92.97,0.096,92.874,97.23,,93.81,0.525,93.285,344.52,125.49,39.44,0.527,38.913
,539.46,92.97,0.518,92.452,102.29,,93.81,0.902,92.908,499.48,140.91,39.44,0.526,38.914
,533.57,92.97,0.92,92.05,106.46,,92.7,0.097,92.603,130.26,572.78,39.44,0.532,38.908
,532.11,92.05,0.094,91.956,112.43,,92.7,0.512,92.188,111.98,535.9,39.44,0.53,38.91
,526.11,92.05,0.486,91.564,118.12,,92.7,0.893,91.807,54.8,96.56,39.6,0.7,38.9
,519.41,92.05,0.895,91.155,122.71,,91.62,0.106,91.514,,,,,
,517.4,91.11,0.065,91.045,129.08,,91.62,0.488,91.132,,,,,
,509.86,91.11,0.492,90.618,136.22,,91.62,0.903,90.717,,,,,
,502.11,91.11,0.9,90.21,140.1,,90.61,0.096,90.514,,,,,
,500,90.2,0.089,90.111,148.02,,90.61,0.502,90.108,,,,,
,491.46,90.2,0.49,89.71,156.35,,90.61,0.899,89.711,,,,,
,481.61,90.2,0.905,89.295,160.32,,89.62,0.08,89.54,,,,,
,478.56,89.28,0.102,89.178,170.53,,89.62,0.491,89.129,,,,,
,467.39,89.28,0.493,88.787,182.72,,89.62,0.907,88.713,,,,,
,453.71,89.28,0.885,88.395,190.33,,88.56,0.063,88.497,,,,,
,357.05,89.28,0.862,88.418,193.57,,88.56,0.15,88.41,,,,,
,344.69,89.28,0.507,88.773,290.43,,88.56,0.161,88.399,,,,,
,332.98,89.28,0.098,89.182,292.57,,88.56,0.106,88.454,,,,,
,330.29,90.17,0.893,89.277,298.43,,89.56,0.943,88.617,,,,,
,320.89,90.17,0.501,89.669,311.97,,89.56,0.505,89.055,,,,,
,312.55,90.17,0.111,90.059,321.97,,89.56,0.11,89.45,,,,,
,311.78,91.05,0.94,90.11,328.65,,90.63,0.887,89.743,,,,,
,303.23,91.05,0.513,90.537,336.83,,90.63,0.507,90.123,,,,,
,295.74,91.05,0.097,90.953,344.41,,90.63,0.11,90.52,,,,,
,294.1,91.98,0.935,91.045,350.57,,91.76,0.902,90.858,,,,,
,286.99,91.98,0.509,91.471,357.4,,91.76,0.503,91.257,,,,,
,280.16,91.98,0.073,91.907,363.8,,91.76,0.11,91.65,,,,,
,279.14,92.86,0.881,91.979,370.25,,92.98,0.913,92.067,,,,,
,273.81,92.86,0.514,92.346,376.32,,92.98,0.505,92.475,,,,,
,267.68,92.86,0.082,92.778,382.25,,92.98,0.087,92.893,,,,,
,265.77,93.79,0.877,92.913,388.81,,94.31,0.906,93.404,,,,,
,260.89,93.79,0.51,93.28,394.63,,94.31,0.454,93.856,,,,,
,255.31,93.79,0.08,93.71,398.51,,94.31,0.143,94.167,,,,,
,254.54,94.64,0.881,93.759,,,,,,,,,,
,249.94,94.64,0.513,94.127,,,,,,,,,,
,249.2,94.64,0.451,94.189,,,,,,,,,,
